
permutación 01234, P_n = 0
permutación 01243, P_n = 3
permutación 01324, P_n = 3
permutación 01342, P_n = 4
permutación 01423, P_n = 4
permutación 01432, P_n = 3
permutación 02134, P_n = 3
permutación 02143, P_n = 5
permutación 02314, P_n = 3
permutación 02341, P_n = 3
permutación 02413, P_n = 5
permutación 02431, P_n = 4
permutación 03124, P_n = 3
permutación 03142, P_n = 5
permutación 03214, P_n = 3
permutación 03241, P_n = 5
permutación 03412, P_n = 3
permutación 03421, P_n = 4
permutación 04123, P_n = 3
permutación 04132, P_n = 4
permutación 04213, P_n = 5
permutación 04231, P_n = 5
permutación 04312, P_n = 4
permutación 04321, P_n = 3
permutación 10234, P_n = 1
permutación 10243, P_n = 4
permutación 10324, P_n = 3
permutación 10342, P_n = 3
permutación 10423, P_n = 3
permutación 10432, P_n = 4
permutación 12034, P_n = 2
permutación 12043, P_n = 4
permutación 12304, P_n = 2
permutación 12340, P_n = 2
permutación 12403, P_n = 4
permutación 12430, P_n = 3
permutación 13024, P_n = 4
permutación 13042, P_n = 5
permutación 13204, P_n = 3
permutación 13240, P_n = 5
permutación 13402, P_n = 4
permutación 13420, P_n = 4
permutación 14023, P_n = 4
permutación 14032, P_n = 5
permutación 14203, P_n = 5
permutación 14230, P_n = 4
permutación 14302, P_n = 4
permutación 14320, P_n = 3
permutación 20134, P_n = 2
permutación 20143, P_n = 4
permutación 20314, P_n = 4
permutación 20341, P_n = 4
permutación 20413, P_n = 5
permutación 20431, P_n = 5
permutación 21034, P_n = 1
permutación 21043, P_n = 3
permutación 21304, P_n = 3
permutación 21340, P_n = 3
permutación 21403, P_n = 4
permutación 21430, P_n = 4
permutación 23014, P_n = 3
permutación 23041, P_n = 4
permutación 23104, P_n = 2
permutación 23140, P_n = 4
permutación 23401, P_n = 3
permutación 23410, P_n = 2
permutación 24013, P_n = 4
permutación 24031, P_n = 5
permutación 24103, P_n = 4
permutación 24130, P_n = 5
permutación 24301, P_n = 4
permutación 24310, P_n = 3
permutación 30124, P_n = 2
permutación 30142, P_n = 4
permutación 30214, P_n = 3
permutación 30241, P_n = 5
permutación 30412, P_n = 4
permutación 30421, P_n = 4
permutación 31024, P_n = 3
permutación 31042, P_n = 4
permutación 31204, P_n = 4
permutación 31240, P_n = 4
permutación 31402, P_n = 5
permutación 31420, P_n = 5
permutación 32014, P_n = 2
permutación 32041, P_n = 4
permutación 32104, P_n = 1
permutación 32140, P_n = 3
permutación 32401, P_n = 4
permutación 32410, P_n = 3
permutación 34012, P_n = 3
permutación 34021, P_n = 4
permutación 34102, P_n = 4
permutación 34120, P_n = 4
permutación 34201, P_n = 3
permutación 34210, P_n = 2
permutación 40123, P_n = 2
permutación 40132, P_n = 3
permutación 40213, P_n = 5
permutación 40231, P_n = 4
permutación 40312, P_n = 4
permutación 40321, P_n = 3
permutación 41023, P_n = 3
permutación 41032, P_n = 4
permutación 41203, P_n = 4
permutación 41230, P_n = 4
permutación 41302, P_n = 5
permutación 41320, P_n = 4
permutación 42013, P_n = 4
permutación 42031, P_n = 5
permutación 42103, P_n = 3
permutación 42130, P_n = 4
permutación 42301, P_n = 4
permutación 42310, P_n = 4
permutación 43012, P_n = 2
permutación 43021, P_n = 3
permutación 43102, P_n = 3
permutación 43120, P_n = 4
permutación 43201, P_n = 2
permutación 43210, P_n = 1
P_5 = 5
_________________________________
permutación 012345, P_n = 0
permutación 012354, P_n = 3
permutación 012435, P_n = 3
permutación 012453, P_n = 4
permutación 012534, P_n = 4
permutación 012543, P_n = 3
permutación 013245, P_n = 3
permutación 013254, P_n = 5
permutación 013425, P_n = 4
permutación 013452, P_n = 4
permutación 013524, P_n = 6
permutación 013542, P_n = 5
permutación 014235, P_n = 4
permutación 014253, P_n = 6
permutación 014325, P_n = 3
permutación 014352, P_n = 5
permutación 014523, P_n = 4
permutación 014532, P_n = 4
permutación 015234, P_n = 4
permutación 015243, P_n = 5
permutación 015324, P_n = 5
permutación 015342, P_n = 6
permutación 015423, P_n = 4
permutación 015432, P_n = 3
permutación 021345, P_n = 3
permutación 021354, P_n = 6
permutación 021435, P_n = 5
permutación 021453, P_n = 5
permutación 021534, P_n = 5
permutación 021543, P_n = 5
permutación 023145, P_n = 3
permutación 023154, P_n = 5
permutación 023415, P_n = 3
permutación 023451, P_n = 3
permutación 023514, P_n = 5
permutación 023541, P_n = 4
permutación 024135, P_n = 5
permutación 024153, P_n = 6
permutación 024315, P_n = 4
permutación 024351, P_n = 6
permutación 024513, P_n = 5
permutación 024531, P_n = 5
permutación 025134, P_n = 5
permutación 025143, P_n = 6
permutación 025314, P_n = 6
permutación 025341, P_n = 5
permutación 025413, P_n = 6
permutación 025431, P_n = 4
permutación 031245, P_n = 3
permutación 031254, P_n = 5
permutación 031425, P_n = 5
permutación 031452, P_n = 5
permutación 031524, P_n = 6
permutación 031542, P_n = 6
permutación 032145, P_n = 3
permutación 032154, P_n = 5
permutación 032415, P_n = 5
permutación 032451, P_n = 5
permutación 032514, P_n = 6
permutación 032541, P_n = 6
permutación 034125, P_n = 3
permutación 034152, P_n = 5
permutación 034215, P_n = 4
permutación 034251, P_n = 5
permutación 034512, P_n = 3
permutación 034521, P_n = 4
permutación 035124, P_n = 5
permutación 035142, P_n = 6
permutación 035214, P_n = 6
permutación 035241, P_n = 6
permutación 035412, P_n = 4
permutación 035421, P_n = 5
permutación 041235, P_n = 3
permutación 041253, P_n = 5
